# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00012178
   -9.90990991    0.00012278
   -9.81981982    0.00012380
   -9.72972973    0.00012483
   -9.63963964    0.00012587
   -9.54954955    0.00012693
   -9.45945946    0.00012801
   -9.36936937    0.00012910
   -9.27927928    0.00013021
   -9.18918919    0.00013133
   -9.09909910    0.00013248
   -9.00900901    0.00013364
   -8.91891892    0.00013482
   -8.82882883    0.00013601
   -8.73873874    0.00013723
   -8.64864865    0.00013847
   -8.55855856    0.00013972
   -8.46846847    0.00014100
   -8.37837838    0.00014229
   -8.28828829    0.00014361
   -8.19819820    0.00014495
   -8.10810811    0.00014631
   -8.01801802    0.00014770
   -7.92792793    0.00014910
   -7.83783784    0.00015054
   -7.74774775    0.00015199
   -7.65765766    0.00015347
   -7.56756757    0.00015498
   -7.47747748    0.00015651
   -7.38738739    0.00015807
   -7.29729730    0.00015966
   -7.20720721    0.00016128
   -7.11711712    0.00016292
   -7.02702703    0.00016460
   -6.93693694    0.00016631
   -6.84684685    0.00016804
   -6.75675676    0.00016981
   -6.66666667    0.00017162
   -6.57657658    0.00017345
   -6.48648649    0.00017533
   -6.39639640    0.00017724
   -6.30630631    0.00017918
   -6.21621622    0.00018116
   -6.12612613    0.00018319
   -6.03603604    0.00018525
   -5.94594595    0.00018736
   -5.85585586    0.00018950
   -5.76576577    0.00019169
   -5.67567568    0.00019393
   -5.58558559    0.00019621
   -5.49549550    0.00019854
   -5.40540541    0.00020092
   -5.31531532    0.00020335
   -5.22522523    0.00020584
   -5.13513514    0.00020837
   -5.04504505    0.00021097
   -4.95495495    0.00021362
   -4.86486486    0.00021633
   -4.77477477    0.00021910
   -4.68468468    0.00022193
   -4.59459459    0.00022483
   -4.50450450    0.00022780
   -4.41441441    0.00023084
   -4.32432432    0.00023395
   -4.23423423    0.00023713
   -4.14414414    0.00024039
   -4.05405405    0.00024373
   -3.96396396    0.00024716
   -3.87387387    0.00025067
   -3.78378378    0.00025427
   -3.69369369    0.00025796
   -3.60360360    0.00026175
   -3.51351351    0.00026563
   -3.42342342    0.00026962
   -3.33333333    0.00027371
   -3.24324324    0.00027792
   -3.15315315    0.00028224
   -3.06306306    0.00028668
   -2.97297297    0.00029124
   -2.88288288    0.00029594
   -2.79279279    0.00030076
   -2.70270270    0.00030573
   -2.61261261    0.00031085
   -2.52252252    0.00031612
   -2.43243243    0.00032155
   -2.34234234    0.00032714
   -2.25225225    0.00033291
   -2.16216216    0.00033886
   -2.07207207    0.00034500
   -1.98198198    0.00035134
   -1.89189189    0.00035788
   -1.80180180    0.00036464
   -1.71171171    0.00037163
   -1.62162162    0.00037886
   -1.53153153    0.00038634
   -1.44144144    0.00039409
   -1.35135135    0.00040211
   -1.26126126    0.00041042
   -1.17117117    0.00041904
   -1.08108108    0.00042799
   -0.99099099    0.00043727
   -0.90090090    0.00044692
   -0.81081081    0.00045695
   -0.72072072    0.00046739
   -0.63063063    0.00047825
   -0.54054054    0.00048957
   -0.45045045    0.00050136
   -0.36036036    0.00051366
   -0.27027027    0.00052649
   -0.18018018    0.00053987
   -0.09009009    0.44079433
    0.00000000    0.00056836
    0.09009009    0.00058356
    0.18018018    0.00059943
    0.27027027    0.00061605
    0.36036036    0.00063349
    0.45045045    0.00065182
    0.54054054    0.00067110
    0.63063063    0.00069142
    0.72072072    0.00071284
    0.81081081    0.00073547
    0.90090090    0.00075938
    0.99099099    0.00078468
    1.08108108    0.00081149
    1.17117117    0.00083993
    1.26126126    0.00087015
    1.35135135    0.00090230
    1.44144144    0.00093655
    1.53153153    0.00097311
    1.62162162    0.00101220
    1.71171171    0.00105406
    1.80180180    0.00109898
    1.89189189    0.00114727
    1.98198198    0.00119931
    2.07207207    0.00125549
    2.16216216    0.00131631
    2.25225225    0.00138229
    2.34234234    0.00145406
    2.43243243    0.00153236
    2.52252252    0.00161803
    2.61261261    0.00171204
    2.70270270    0.00181557
    2.79279279    0.00192996
    2.88288288    0.00205685
    2.97297297    0.00219816
    3.06306306    0.00235619
    3.15315315    0.00253375
    3.24324324    0.00273423
    3.33333333    0.00296177
    3.42342342    0.00322147
    3.51351351    0.00351966
    3.60360360    0.00386426
    3.69369369    0.00426520
    3.78378378    0.00473511
    3.87387387    0.00529009
    3.96396396    0.00595078
    4.05405405    0.00674382
    4.14414414    0.00770351
    4.23423423    0.00887384
    4.32432432    0.01031037
    4.41441441    0.01208082
    4.50450450    0.01426174
    4.59459459    0.01692538
    4.68468468    0.02010587
    4.77477477    0.02373057
    4.86486486    0.02751420
    4.95495495    0.03086989
    5.04504505    0.03298817
    5.13513514    0.03321051
    5.22522523    0.03148042
    5.31531532    0.02838744
    5.40540541    0.02475007
    5.49549550    0.02120364
    5.58558559    0.01807858
    5.67567568    0.01547506
    5.76576577    0.01337213
    5.85585586    0.01170282
    5.94594595    0.01039255
    6.03603604    0.00937482
    6.12612613    0.00859570
    6.21621622    0.00801378
    6.30630631    0.00759862
    6.39639640    0.00732906
    6.48648649    0.00719179
    6.57657658    0.00718042
    6.66666667    0.00729504
    6.75675676    0.00754225
    6.84684685    0.00793561
    6.93693694    0.00849654
    7.02702703    0.00925548
    7.11711712    0.01025279
    7.20720721    0.01153830
    7.29729730    0.01316686
    7.38738739    0.01518420
    7.47747748    0.01759405
    7.56756757    0.02029640
    7.65765766    0.02300508
    7.74774775    0.02520880
    7.83783784    0.02630239
    7.92792793    0.02592024
    8.01801802    0.02420369
    8.10810811    0.02169267
    8.19819820    0.01897385
    8.28828829    0.01644206
    8.37837838    0.01427541
    8.46846847    0.01251013
    8.55855856    0.01111546
    8.64864865    0.01003920
    8.73873874    0.00922939
    8.82882883    0.00864245
    8.91891892    0.00824511
    9.00900901    0.00801408
    9.09909910    0.00793504
    9.18918919    0.00800182
    9.27927928    0.00821596
    9.36936937    0.00858682
    9.45945946    0.00913218
    9.54954955    0.00987947
    9.63963964    0.01086733
    9.72972973    0.01214727
    9.81981982    0.01378435
    9.90990991    0.01585433
   10.00000000    0.01843205
   10.09009009    0.02156110
   10.18018018    0.02519219
   10.27027027    0.02908813
   10.36036036    0.03273989
   10.45045045    0.03541109
   10.54054054    0.03640593
   10.63063063    0.03543268
   10.72072072    0.03276475
   10.81081081    0.02907221
   10.90090090    0.02507985
   10.99099099    0.02130743
   11.08108108    0.01801027
   11.17117117    0.01525063
   11.26126126    0.01299037
   11.35135135    0.01115475
   11.44144144    0.00966510
   11.53153153    0.00845184
   11.62162162    0.00745782
   11.71171171    0.00663771
   11.80180180    0.00595614
   11.89189189    0.00538563
   11.98198198    0.00490484
   12.07207207    0.00449712
   12.16216216    0.00414943
   12.25225225    0.00385151
   12.34234234    0.00359519
   12.43243243    0.00337398
   12.52252252    0.00318264
   12.61261261    0.00301698
   12.70270270    0.00287358
   12.79279279    0.00274970
   12.88288288    0.00264308
   12.97297297    0.00255194
   13.06306306    0.00247482
   13.15315315    0.00241060
   13.24324324    0.00235841
   13.33333333    0.00231762
   13.42342342    0.00228782
   13.51351351    0.00226883
   13.60360360    0.00226066
   13.69369369    0.00226356
   13.78378378    0.00227802
   13.87387387    0.00230477
   13.96396396    0.00234490
   14.05405405    0.00239983
   14.14414414    0.00247149
   14.23423423    0.00256233
   14.32432432    0.00267556
   14.41441441    0.00281533
   14.50450450    0.00298698
   14.59459459    0.00319742
   14.68468468    0.00345560
   14.77477477    0.00377310
   14.86486486    0.00416479
   14.95495495    0.00464949
   15.04504505    0.00525016
   15.13513514    0.00599289
   15.22522523    0.00690252
   15.31531532    0.00799150
   15.40540541    0.00923717
   15.49549550    0.01054638
   15.58558559    0.01172553
   15.67567568    0.01250592
   15.76576577    0.01266776
   15.85585586    0.01219220
   15.94594595    0.01127875
   16.03603604    0.01020703
   16.12612613    0.00919815
   16.21621622    0.00837298
   16.30630631    0.00777682
   16.39639640    0.00741556
   16.48648649    0.00727905
   16.57657658    0.00734897
   16.66666667    0.00759337
   16.75675676    0.00795089
   16.84684685    0.00831445
   16.93693694    0.00853894
   17.02702703    0.00849788
   17.11711712    0.00816158
   17.20720721    0.00761515
   17.29729730    0.00699388
   17.38738739    0.00640962
   17.47747748    0.00592441
   17.56756757    0.00556082
   17.65765766    0.00532070
   17.74774775    0.00519891
   17.83783784    0.00519077
   17.92792793    0.00529546
   18.01801802    0.00551726
   18.10810811    0.00586543
   18.19819820    0.00635248
   18.28828829    0.00698928
   18.37837838    0.00777397
   18.46846847    0.00867190
   18.55855856    0.00958938
   18.64864865    0.01036281
   18.73873874    0.01080339
   18.82882883    0.01080432
   18.91891892    0.01042177
   19.00900901    0.00983537
   19.09909910    0.00923668
   19.18918919    0.00875726
   19.27927928    0.00846384
   19.36936937    0.00838335
   19.45945946    0.00852737
   19.54954955    0.00890742
   19.63963964    0.00954256
   19.72972973    0.01046189
   19.81981982    0.01170212
   19.90990991    0.01329708
   20.00000000    0.01525241
   20.09009009    0.01749668
   20.18018018    0.01981194
   20.27027027    0.02178892
   20.36036036    0.02291068
   20.45045045    0.02281794
   20.54054054    0.02156550
   20.63063063    0.01958092
   20.72072072    0.01737624
   20.81081081    0.01531937
   20.90090090    0.01359090
   20.99099099    0.01224240
   21.08108108    0.01126320
   21.17117117    0.01062351
   21.26126126    0.01029601
   21.35135135    0.01026492
   21.44144144    0.01052870
   21.53153153    0.01109914
   21.62162162    0.01199628
   21.71171171    0.01323540
   21.80180180    0.01479946
   21.89189189    0.01659075
   21.98198198    0.01837240
   22.07207207    0.01975515
   22.16216216    0.02031977
   22.25225225    0.01986529
   22.34234234    0.01856056
   22.43243243    0.01681828
   22.52252252    0.01504197
   22.61261261    0.01348198
   22.70270270    0.01223101
   22.79279279    0.01127123
   22.88288288    0.01051804
   22.97297297    0.00986108
   23.06306306    0.00921466
   23.15315315    0.00855756
   23.24324324    0.00792710
   23.33333333    0.00737829
   23.42342342    0.00695154
   23.51351351    0.00666596
   23.60360360    0.00652595
   23.69369369    0.00652771
   23.78378378    0.00666148
   23.87387387    0.00691157
   23.96396396    0.00726031
   24.05405405    0.00770034
   24.14414414    0.00824586
   24.23423423    0.00892344
   24.32432432    0.00973697
   24.41441441    0.01062197
   24.50450450    0.01141411
   24.59459459    0.01187262
   24.68468468    0.01179312
   24.77477477    0.01114699
   24.86486486    0.01010181
   24.95495495    0.00889959
   25.04504505    0.00773097
   25.13513514    0.00669558
   25.22522523    0.00582322
   25.31531532    0.00510661
   25.40540541    0.00452425
   25.49549550    0.00405224
   25.58558559    0.00366902
   25.67567568    0.00335676
   25.76576577    0.00310127
   25.85585586    0.00289150
   25.94594595    0.00271886
   26.03603604    0.00257673
   26.12612613    0.00245998
   26.21621622    0.00236465
   26.30630631    0.00228766
   26.39639640    0.00222665
   26.48648649    0.00217977
   26.57657658    0.00214566
   26.66666667    0.00212329
   26.75675676    0.00211194
   26.84684685    0.00211118
   26.93693694    0.00212077
   27.02702703    0.00214072
   27.11711712    0.00217126
   27.20720721    0.00221283
   27.29729730    0.00226609
   27.38738739    0.00233196
   27.47747748    0.00241168
   27.56756757    0.00250678
   27.65765766    0.00261924
   27.74774775    0.00275150
   27.83783784    0.00290663
   27.92792793    0.00308844
   28.01801802    0.00330171
   28.10810811    0.00355245
   28.19819820    0.00384824
   28.28828829    0.00419872
   28.37837838    0.00461619
   28.46846847    0.00511644
   28.55855856    0.00571983
   28.64864865    0.00645264
   28.73873874    0.00734867
   28.82882883    0.00845087
   28.91891892    0.00981230
   29.00900901    0.01149476
   29.09909910    0.01356100
   29.18918919    0.01605311
   29.27927928    0.01894548
   29.36936937    0.02206488
   29.45945946    0.02500341
   29.54954955    0.02712635
   29.63963964    0.02780965
   29.72972973    0.02683428
   29.81981982    0.02455397
   29.90990991    0.02163347
   30.00000000    0.01866577
   30.09009009    0.01599842
   30.18018018    0.01376330
   30.27027027    0.01196816
   30.36036036    0.01056894
   30.45045045    0.00950980
   30.54054054    0.00874078
   30.63063063    0.00822387
   30.72072072    0.00793383
   30.81081081    0.00785637
   30.90090090    0.00798399
   30.99099099    0.00830776
   31.08108108    0.00880198
   31.17117117    0.00940068
   31.26126126    0.00997569
   31.35135135    0.01034717
   31.44144144    0.01035857
   31.53153153    0.00997923
   31.62162162    0.00932808
   31.71171171    0.00858936
   31.80180180    0.00791658
   31.89189189    0.00739771
   31.98198198    0.00706658
   32.07207207    0.00692205
   32.16216216    0.00693571
   32.25225225    0.00704655
   32.34234234    0.00715472
   32.43243243    0.00713830
   32.52252252    0.00690747
   32.61261261    0.00645992
   32.70270270    0.00587554
   32.79279279    0.00525665
   32.88288288    0.00467761
   32.97297297    0.00417366
   33.06306306    0.00375234
   33.15315315    0.00340737
   33.24324324    0.00312778
   33.33333333    0.00290231
   33.42342342    0.00272110
   33.51351351    0.00257616
