# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00004158
   -9.90990991    0.00004197
   -9.81981982    0.00004236
   -9.72972973    0.00004276
   -9.63963964    0.00004317
   -9.54954955    0.00004358
   -9.45945946    0.00004400
   -9.36936937    0.00004442
   -9.27927928    0.00004485
   -9.18918919    0.00004529
   -9.09909910    0.00004573
   -9.00900901    0.00004618
   -8.91891892    0.00004664
   -8.82882883    0.00004711
   -8.73873874    0.00004758
   -8.64864865    0.00004806
   -8.55855856    0.00004855
   -8.46846847    0.00004905
   -8.37837838    0.00004956
   -8.28828829    0.00005007
   -8.19819820    0.00005059
   -8.10810811    0.00005112
   -8.01801802    0.00005166
   -7.92792793    0.00005221
   -7.83783784    0.00005277
   -7.74774775    0.00005334
   -7.65765766    0.00005392
   -7.56756757    0.00005451
   -7.47747748    0.00005511
   -7.38738739    0.00005572
   -7.29729730    0.00005634
   -7.20720721    0.00005698
   -7.11711712    0.00005762
   -7.02702703    0.00005828
   -6.93693694    0.00005895
   -6.84684685    0.00005963
   -6.75675676    0.00006032
   -6.66666667    0.00006103
   -6.57657658    0.00006175
   -6.48648649    0.00006249
   -6.39639640    0.00006324
   -6.30630631    0.00006400
   -6.21621622    0.00006478
   -6.12612613    0.00006557
   -6.03603604    0.00006638
   -5.94594595    0.00006721
   -5.85585586    0.00006806
   -5.76576577    0.00006892
   -5.67567568    0.00006980
   -5.58558559    0.00007069
   -5.49549550    0.00007161
   -5.40540541    0.00007255
   -5.31531532    0.00007350
   -5.22522523    0.00007448
   -5.13513514    0.00007548
   -5.04504505    0.00007650
   -4.95495495    0.00007754
   -4.86486486    0.00007861
   -4.77477477    0.00007970
   -4.68468468    0.00008081
   -4.59459459    0.00008196
   -4.50450450    0.00008312
   -4.41441441    0.00008432
   -4.32432432    0.00008554
   -4.23423423    0.00008680
   -4.14414414    0.00008808
   -4.05405405    0.00008939
   -3.96396396    0.00009074
   -3.87387387    0.00009212
   -3.78378378    0.00009354
   -3.69369369    0.00009499
   -3.60360360    0.00009648
   -3.51351351    0.00009801
   -3.42342342    0.00009958
   -3.33333333    0.00010119
   -3.24324324    0.00010284
   -3.15315315    0.00010454
   -3.06306306    0.00010628
   -2.97297297    0.00010808
   -2.88288288    0.00010992
   -2.79279279    0.00011181
   -2.70270270    0.00011377
   -2.61261261    0.00011577
   -2.52252252    0.00011784
   -2.43243243    0.00011997
   -2.34234234    0.00012216
   -2.25225225    0.00012442
   -2.16216216    0.00012675
   -2.07207207    0.00012916
   -1.98198198    0.00013164
   -1.89189189    0.00013420
   -1.80180180    0.00013685
   -1.71171171    0.00013958
   -1.62162162    0.00014241
   -1.53153153    0.00014533
   -1.44144144    0.00014836
   -1.35135135    0.00015149
   -1.26126126    0.00015472
   -1.17117117    0.00015807
   -1.08108108    0.00016154
   -0.99099099    0.00016514
   -0.90090090    0.00016888
   -0.81081081    0.00017277
   -0.72072072    0.00017680
   -0.63063063    0.00018100
   -0.54054054    0.00018537
   -0.45045045    0.00018992
   -0.36036036    0.00019465
   -0.27027027    0.00019958
   -0.18018018    0.00020471
   -0.09009009    0.00021006
    0.00000000    0.00021560
    0.09009009    0.00022139
    0.18018018    0.00022742
    0.27027027    0.00023371
    0.36036036    0.00024030
    0.45045045    0.00024721
    0.54054054    0.00025447
    0.63063063    0.00026210
    0.72072072    0.00027013
    0.81081081    0.00027859
    0.90090090    0.00028750
    0.99099099    0.00029691
    1.08108108    0.00030685
    1.17117117    0.00031736
    1.26126126    0.00032849
    1.35135135    0.00034030
    1.44144144    0.00035282
    1.53153153    0.00036614
    1.62162162    0.00038031
    1.71171171    0.00039543
    1.80180180    0.00041159
    1.89189189    0.00042887
    1.98198198    0.00044741
    2.07207207    0.00046731
    2.16216216    0.00048874
    2.25225225    0.00051185
    2.34234234    0.00053683
    2.43243243    0.00056389
    2.52252252    0.00059330
    2.61261261    0.00062532
    2.70270270    0.00066030
    2.79279279    0.00069862
    2.88288288    0.00074074
    2.97297297    0.00078718
    3.06306306    0.00083859
    3.15315315    0.00089569
    3.24324324    0.00095940
    3.33333333    0.00103078
    3.42342342    0.00111114
    3.51351351    0.00120205
    3.60360360    0.00130546
    3.69369369    0.00142376
    3.78378378    0.00155993
    3.87387387    0.00171771
    3.96396396    0.00190179
    4.05405405    0.00211816
    4.14414414    0.00237447
    4.23423423    0.00268056
    4.32432432    0.00304910
    4.41441441    0.00349642
    4.50450450    0.00404335
    4.59459459    0.00471591
    4.68468468    0.00554513
    4.77477477    0.00656438
    4.86486486    0.00780100
    4.95495495    0.00925698
    5.04504505    0.01087322
    5.13513514    0.01248290
    5.22522523    0.01379109
    5.31531532    0.01445032
    5.40540541    0.01424876
    5.49549550    0.01326327
    5.58558559    0.01180261
    5.67567568    0.01020774
    5.76576577    0.00871115
    5.85585586    0.00741901
    5.94594595    0.00635351
    6.03603604    0.00549651
    6.12612613    0.00481657
    6.21621622    0.00428179
    6.30630631    0.00386468
    6.39639640    0.00354324
    6.48648649    0.00330067
    6.57657658    0.00312455
    6.66666667    0.00300612
    6.75675676    0.00293968
    6.84684685    0.00292220
    6.93693694    0.00295305
    7.02702703    0.00303404
    7.11711712    0.00316948
    7.20720721    0.00336656
    7.29729730    0.00363578
    7.38738739    0.00399145
    7.47747748    0.00445204
    7.56756757    0.00503970
    7.65765766    0.00577757
    7.74774775    0.00668219
    7.83783784    0.00774662
    7.92792793    0.00891115
    8.01801802    0.01002935
    8.10810811    0.01086539
    8.19819820    0.01117549
    8.28828829    0.01085721
    8.37837838    0.01002701
    8.46846847    0.00893304
    8.55855856    0.00780701
    8.64864865    0.00678943
    8.73873874    0.00593607
    8.82882883    0.00525238
    8.91891892    0.00472201
    9.00900901    0.00432293
    9.09909910    0.00403469
    9.18918919    0.00384094
    9.27927928    0.00372996
    9.36936937    0.00369444
    9.45945946    0.00373118
    9.54954955    0.00384087
    9.63963964    0.00402807
    9.72972973    0.00430133
    9.81981982    0.00467334
    9.90990991    0.00516063
   10.00000000    0.00578227
   10.09009009    0.00655609
   10.18018018    0.00749128
   10.27027027    0.00857838
   10.36036036    0.00978474
   10.45045045    0.01106816
   10.54054054    0.01240320
   10.63063063    0.01377765
   10.72072072    0.01512873
   10.81081081    0.01626723
   10.90090090    0.01688795
   10.99099099    0.01671917
   11.08108108    0.01571773
   11.17117117    0.01411373
   11.26126126    0.01225775
   11.35135135    0.01044022
   11.44144144    0.00882097
   11.53153153    0.00745200
   11.62162162    0.00632513
   11.71171171    0.00540795
   11.80180180    0.00466309
   11.89189189    0.00405641
   11.98198198    0.00355947
   12.07207207    0.00314954
   12.16216216    0.00280884
   12.25225225    0.00252353
   12.34234234    0.00228286
   12.43243243    0.00207845
   12.52252252    0.00190375
   12.61261261    0.00175357
   12.70270270    0.00162383
   12.79279279    0.00151125
   12.88288288    0.00141320
   12.97297297    0.00132754
   13.06306306    0.00125256
   13.15315315    0.00118685
   13.24324324    0.00112925
   13.33333333    0.00107883
   13.42342342    0.00103481
   13.51351351    0.00099657
   13.60360360    0.00096360
   13.69369369    0.00093551
   13.78378378    0.00091200
   13.87387387    0.00089286
   13.96396396    0.00087794
   14.05405405    0.00086719
   14.14414414    0.00086066
   14.23423423    0.00085844
   14.32432432    0.00086077
   14.41441441    0.00086797
   14.50450450    0.00088051
   14.59459459    0.00089900
   14.68468468    0.00092428
   14.77477477    0.00095744
   14.86486486    0.00099990
   14.95495495    0.00105348
   15.04504505    0.00112057
   15.13513514    0.00120426
   15.22522523    0.00130850
   15.31531532    0.00143830
   15.40540541    0.00159979
   15.49549550    0.00180003
   15.58558559    0.00204612
   15.67567568    0.00234320
   15.76576577    0.00269056
   15.85585586    0.00307629
   15.94594595    0.00347074
   16.03603604    0.00382115
   16.12612613    0.00405527
   16.21621622    0.00410866
   16.30630631    0.00396796
   16.39639640    0.00368584
   16.48648649    0.00334691
   16.57657658    0.00302348
   16.66666667    0.00275754
   16.75675676    0.00256573
   16.84684685    0.00244967
   16.93693694    0.00240247
   17.02702703    0.00240951
   17.11711712    0.00244566
   17.20720721    0.00247414
   17.29729730    0.00245550
   17.38738739    0.00236723
   17.47747748    0.00221761
   17.56756757    0.00203703
   17.65765766    0.00185741
   17.74774775    0.00169943
   17.83783784    0.00157196
   17.92792793    0.00147653
   18.01801802    0.00141154
   18.10810811    0.00137474
   18.19819820    0.00136451
   18.28828829    0.00138033
   18.37837838    0.00142299
   18.46846847    0.00149471
   18.55855856    0.00159904
   18.64864865    0.00174051
   18.73873874    0.00192361
   18.82882883    0.00215008
   18.91891892    0.00241380
   19.00900901    0.00269286
   19.09909910    0.00294330
   19.18918919    0.00310563
   19.27927928    0.00313302
   19.36936937    0.00302389
   19.45945946    0.00282361
   19.54954955    0.00259314
   19.63963964    0.00237956
   19.72972973    0.00220801
   19.81981982    0.00208757
   19.90990991    0.00201937
   20.00000000    0.00200219
   20.09009009    0.00203539
   20.18018018    0.00212024
   20.27027027    0.00226033
   20.36036036    0.00246117
   20.45045045    0.00272866
   20.54054054    0.00306539
   20.63063063    0.00346294
   20.72072072    0.00389015
   20.81081081    0.00428263
   20.90090090    0.00455032
   20.99099099    0.00461793
   21.08108108    0.00447634
   21.17117117    0.00419060
   21.26126126    0.00385459
   21.35135135    0.00354388
   21.44144144    0.00330073
   21.53153153    0.00314212
   21.62162162    0.00307226
   21.71171171    0.00309140
   21.80180180    0.00320013
   21.89189189    0.00340033
   21.98198198    0.00369344
   22.07207207    0.00407623
   22.16216216    0.00453548
   22.25225225    0.00504575
   22.34234234    0.00557432
   22.43243243    0.00608681
   22.52252252    0.00654030
   22.61261261    0.00687222
   22.70270270    0.00701477
   22.79279279    0.00693846
   22.88288288    0.00668117
   22.97297297    0.00632228
   23.06306306    0.00592740
   23.15315315    0.00552126
   23.24324324    0.00510125
   23.33333333    0.00466230
   23.42342342    0.00421155
   23.51351351    0.00377062
   23.60360360    0.00336674
   23.69369369    0.00302069
   23.78378378    0.00274166
   23.87387387    0.00252942
   23.96396396    0.00237852
   24.05405405    0.00228112
   24.14414414    0.00222831
   24.23423423    0.00221154
   24.32432432    0.00222565
   24.41441441    0.00227196
   24.50450450    0.00235827
   24.59459459    0.00249498
   24.68468468    0.00269036
   24.77477477    0.00294642
   24.86486486    0.00325501
   24.95495495    0.00359300
   25.04504505    0.00391609
   25.13513514    0.00415523
   25.22522523    0.00423201
   25.31531532    0.00410150
   25.40540541    0.00378791
   25.49549550    0.00336902
   25.58558559    0.00292733
   25.67567568    0.00251734
   25.76576577    0.00216269
   25.85585586    0.00186709
