# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma_tot   sigma_up    sigma_down 
  -10.00000000    0.00001279    0.00000644    0.00000635
   -9.89966555    0.00001289    0.00000649    0.00000640
   -9.79933110    0.00001299    0.00000654    0.00000645
   -9.69899666    0.00001308    0.00000659    0.00000650
   -9.59866221    0.00001319    0.00000664    0.00000655
   -9.49832776    0.00001329    0.00000669    0.00000660
   -9.39799331    0.00001339    0.00000674    0.00000665
   -9.29765886    0.00001350    0.00000679    0.00000670
   -9.19732441    0.00001360    0.00000685    0.00000676
   -9.09698997    0.00001371    0.00000690    0.00000681
   -8.99665552    0.00001382    0.00000696    0.00000686
   -8.89632107    0.00001393    0.00000701    0.00000692
   -8.79598662    0.00001405    0.00000707    0.00000698
   -8.69565217    0.00001416    0.00000713    0.00000703
   -8.59531773    0.00001428    0.00000718    0.00000709
   -8.49498328    0.00001439    0.00000724    0.00000715
   -8.39464883    0.00001451    0.00000730    0.00000721
   -8.29431438    0.00001464    0.00000736    0.00000727
   -8.19397993    0.00001476    0.00000742    0.00000733
   -8.09364548    0.00001488    0.00000749    0.00000740
   -7.99331104    0.00001501    0.00000755    0.00000746
   -7.89297659    0.00001514    0.00000761    0.00000753
   -7.79264214    0.00001527    0.00000768    0.00000759
   -7.69230769    0.00001541    0.00000775    0.00000766
   -7.59197324    0.00001554    0.00000781    0.00000773
   -7.49163880    0.00001568    0.00000788    0.00000780
   -7.39130435    0.00001582    0.00000795    0.00000787
   -7.29096990    0.00001596    0.00000802    0.00000794
   -7.19063545    0.00001611    0.00000809    0.00000801
   -7.09030100    0.00001625    0.00000817    0.00000809
   -6.98996656    0.00001640    0.00000824    0.00000816
   -6.88963211    0.00001655    0.00000832    0.00000824
   -6.78929766    0.00001671    0.00000839    0.00000832
   -6.68896321    0.00001687    0.00000847    0.00000840
   -6.58862876    0.00001703    0.00000855    0.00000848
   -6.48829431    0.00001719    0.00000863    0.00000856
   -6.38795987    0.00001735    0.00000871    0.00000864
   -6.28762542    0.00001752    0.00000879    0.00000873
   -6.18729097    0.00001769    0.00000888    0.00000882
   -6.08695652    0.00001787    0.00000896    0.00000891
   -5.98662207    0.00001805    0.00000905    0.00000900
   -5.88628763    0.00001823    0.00000914    0.00000909
   -5.78595318    0.00001841    0.00000923    0.00000918
   -5.68561873    0.00001860    0.00000932    0.00000928
   -5.58528428    0.00001879    0.00000942    0.00000938
   -5.48494983    0.00001899    0.00000951    0.00000948
   -5.38461538    0.00001919    0.00000961    0.00000958
   -5.28428094    0.00001939    0.00000971    0.00000969
   -5.18394649    0.00001960    0.00000981    0.00000979
   -5.08361204    0.00001982    0.00000991    0.00000990
   -4.98327759    0.00002003    0.00001002    0.00001002
   -4.88294314    0.00002025    0.00001012    0.00001013
   -4.78260870    0.00002048    0.00001023    0.00001025
   -4.68227425    0.00002071    0.00001034    0.00001037
   -4.58193980    0.00002095    0.00001046    0.00001049
   -4.48160535    0.00002119    0.00001057    0.00001062
   -4.38127090    0.00002144    0.00001069    0.00001075
   -4.28093645    0.00002169    0.00001081    0.00001088
   -4.18060201    0.00002195    0.00001093    0.00001101
   -4.08026756    0.00002221    0.00001106    0.00001115
   -3.97993311    0.00002248    0.00001119    0.00001130
   -3.87959866    0.00002276    0.00001132    0.00001144
   -3.77926421    0.00002305    0.00001145    0.00001160
   -3.67892977    0.00002334    0.00001159    0.00001175
   -3.57859532    0.00002364    0.00001173    0.00001191
   -3.47826087    0.00002395    0.00001187    0.00001208
   -3.37792642    0.00002427    0.00001202    0.00001225
   -3.27759197    0.00002459    0.00001217    0.00001243
   -3.17725753    0.00002493    0.00001232    0.00001261
   -3.07692308    0.00002528    0.00001248    0.00001280
   -2.97658863    0.00002563    0.00001264    0.00001299
   -2.87625418    0.00002600    0.00001280    0.00001320
   -2.77591973    0.00002638    0.00001297    0.00001341
   -2.67558528    0.00002677    0.00001314    0.00001363
   -2.57525084    0.00002717    0.00001332    0.00001386
   -2.47491639    0.00002759    0.00001350    0.00001410
   -2.37458194    0.00002803    0.00001368    0.00001435
   -2.27424749    0.00002848    0.00001387    0.00001461
   -2.17391304    0.00002895    0.00001407    0.00001488
   -2.07357860    0.00002944    0.00001427    0.00001517
   -1.97324415    0.00002995    0.00001448    0.00001547
   -1.87290970    0.00003049    0.00001469    0.00001580
   -1.77257525    0.00003105    0.00001491    0.00001614
   -1.67224080    0.00003163    0.00001513    0.00001650
   -1.57190635    0.00003225    0.00001536    0.00001689
   -1.47157191    0.00003291    0.00001560    0.00001731
   -1.37123746    0.00003360    0.00001584    0.00001776
   -1.27090301    0.00003434    0.00001609    0.00001824
   -1.17056856    0.00003513    0.00001635    0.00001877
   -1.07023411    0.00003597    0.00001662    0.00001935
   -0.96989967    0.00003688    0.00001690    0.00001998
   -0.86956522    0.00003786    0.00001718    0.00002068
   -0.76923077    0.00003893    0.00001748    0.00002145
   -0.66889632    0.00004009    0.00001778    0.00002231
   -0.56856187    0.00004136    0.00001809    0.00002326
   -0.46822742    0.00004274    0.00001842    0.00002432
   -0.36789298    0.00004425    0.00001876    0.00002549
   -0.26755853    0.00004588    0.00001910    0.00002678
   -0.16722408    0.00004762    0.00001947    0.00002816
   -0.06688963    0.00004944    0.00001984    0.00002960
    0.03344482    0.00005130    0.00002023    0.00003107
    0.13377926    0.00005310    0.00002064    0.00003247
    0.23411371    0.00005480    0.00002106    0.00003375
    0.33444816    0.00005634    0.00002149    0.00003485
    0.43478261    0.00005769    0.00002195    0.00003574
    0.53511706    0.00005886    0.00002243    0.00003643
    0.63545151    0.00005986    0.00002292    0.00003693
    0.73578595    0.00006069    0.00002344    0.00003725
    0.83612040    0.00006137    0.00002398    0.00003738
    0.93645485    0.00006189    0.00002455    0.00003734
    1.03678930    0.00006228    0.00002515    0.00003713
    1.13712375    0.00006257    0.00002577    0.00003680
    1.23745819    0.00006283    0.00002643    0.00003640
    1.33779264    0.00006312    0.00002712    0.00003600
    1.43812709    0.00006349    0.00002785    0.00003564
    1.53846154    0.00006399    0.00002862    0.00003537
    1.63879599    0.00006465    0.00002943    0.00003522
    1.73913043    0.00006549    0.00003029    0.00003520
    1.83946488    0.00006652    0.00003120    0.00003532
    1.93979933    0.00006775    0.00003217    0.00003558
    2.04013378    0.00006918    0.00003320    0.00003598
    2.14046823    0.00007082    0.00003430    0.00003652
    2.24080268    0.00007266    0.00003548    0.00003718
    2.34113712    0.00007471    0.00003674    0.00003797
    2.44147157    0.00007699    0.00003810    0.00003890
    2.54180602    0.00007951    0.00003956    0.00003995
    2.64214047    0.00008228    0.00004113    0.00004114
    2.74247492    0.00008532    0.00004284    0.00004248
    2.84280936    0.00008867    0.00004470    0.00004397
    2.94314381    0.00009236    0.00004673    0.00004563
    3.04347826    0.00009641    0.00004895    0.00004747
    3.14381271    0.00010090    0.00005138    0.00004951
    3.24414716    0.00010585    0.00005407    0.00005179
    3.34448161    0.00011136    0.00005704    0.00005432
    3.44481605    0.00011749    0.00006035    0.00005714
    3.54515050    0.00012433    0.00006404    0.00006029
    3.64548495    0.00013200    0.00006817    0.00006383
    3.74581940    0.00014063    0.00007282    0.00006781
    3.84615385    0.00015035    0.00007805    0.00007230
    3.94648829    0.00016133    0.00008396    0.00007737
    4.04682274    0.00017374    0.00009064    0.00008310
    4.14715719    0.00018774    0.00009815    0.00008959
    4.24749164    0.00020347    0.00010657    0.00009691
    4.34782609    0.00022099    0.00011589    0.00010510
    4.44816054    0.00024023    0.00012606    0.00011417
    4.54849498    0.00026090    0.00013689    0.00012401
    4.64882943    0.00028248    0.00014807    0.00013441
    4.74916388    0.00030409    0.00015913    0.00014496
    4.84949833    0.00032469    0.00016951    0.00015517
    4.94983278    0.00034320    0.00017866    0.00016454
    5.05016722    0.00035897    0.00018622    0.00017276
    5.15050167    0.00037210    0.00019223    0.00017987
    5.25083612    0.00038354    0.00019718    0.00018636
    5.35117057    0.00039486    0.00020189    0.00019297
    5.45150502    0.00040789    0.00020729    0.00020060
    5.55183946    0.00042429    0.00021426    0.00021003
    5.65217391    0.00044541    0.00022349    0.00022191
    5.75250836    0.00047210    0.00023542    0.00023668
    5.85284281    0.00050474    0.00025022    0.00025452
    5.95317726    0.00054308    0.00026775    0.00027532
    6.05351171    0.00058607    0.00028749    0.00029858
    6.15384615    0.00063172    0.00030844    0.00032328
    6.25418060    0.00067701    0.00032915    0.00034786
    6.35451505    0.00071828    0.00034795    0.00037033
    6.45484950    0.00075186    0.00036328    0.00038858
    6.55518395    0.00077501    0.00037421    0.00040080
    6.65551839    0.00078646    0.00038070    0.00040576
    6.75585284    0.00078636    0.00038338    0.00040298
    6.85618729    0.00077575    0.00038309    0.00039266
    6.95652174    0.00075595    0.00038024    0.00037571
    7.05685619    0.00072825    0.00037462    0.00035363
    7.15719064    0.00069391    0.00036552    0.00032838
    7.25752508    0.00065434    0.00035238    0.00030196
    7.35785953    0.00061128    0.00033521    0.00027606
    7.45819398    0.00056676    0.00031489    0.00025187
    7.55852843    0.00052285    0.00029281    0.00023004
    7.65886288    0.00048131    0.00027047    0.00021084
    7.75919732    0.00044337    0.00024912    0.00019425
    7.85953177    0.00040964    0.00022955    0.00018009
    7.95986622    0.00038031    0.00021218    0.00016813
    8.06020067    0.00035523    0.00019711    0.00015812
    8.16053512    0.00033408    0.00018427    0.00014981
    8.26086957    0.00031647    0.00017349    0.00014299
    8.36120401    0.00030202    0.00016456    0.00013746
    8.46153846    0.00029035    0.00015727    0.00013308
    8.56187291    0.00028116    0.00015144    0.00012972
    8.66220736    0.00027417    0.00014691    0.00012726
    8.76254181    0.00026917    0.00014353    0.00012564
    8.86287625    0.00026598    0.00014119    0.00012479
    8.96321070    0.00026448    0.00013981    0.00012467
    9.06354515    0.00026458    0.00013933    0.00012525
    9.16387960    0.00026623    0.00013970    0.00012653
    9.26421405    0.00026941    0.00014090    0.00012851
    9.36454849    0.00027412    0.00014292    0.00013120
    9.46488294    0.00028039    0.00014577    0.00013462
    9.56521739    0.00028827    0.00014947    0.00013881
    9.66555184    0.00029782    0.00015404    0.00014378
    9.76588629    0.00030905    0.00015951    0.00014954
    9.86622074    0.00032195    0.00016588    0.00015607
    9.96655518    0.00033641    0.00017312    0.00016328
   10.06688963    0.00035216    0.00018115    0.00017100
   10.16722408    0.00036879    0.00018981    0.00017898
   10.26755853    0.00038576    0.00019886    0.00018691
   10.36789298    0.00040256    0.00020802    0.00019454
   10.46822742    0.00041885    0.00021709    0.00020175
   10.56856187    0.00043472    0.00022605    0.00020867
   10.66889632    0.00045070    0.00023506    0.00021563
   10.76923077    0.00046766    0.00024455    0.00022311
   10.86956522    0.00048664    0.00025503    0.00023161
   10.96989967    0.00050864    0.00026706    0.00024159
   11.07023411    0.00053455    0.00028112    0.00025343
   11.17056856    0.00056517    0.00029767    0.00026750
   11.27090301    0.00060121    0.00031712    0.00028409
   11.37123746    0.00064334    0.00033984    0.00030350
   11.47157191    0.00069217    0.00036615    0.00032602
   11.57190635    0.00074825    0.00039634    0.00035191
   11.67224080    0.00081197    0.00043057    0.00038140
   11.77257525    0.00088348    0.00046887    0.00041461
   11.87290970    0.00096267    0.00051107    0.00045160
   11.97324415    0.00104927    0.00055693    0.00049235
   12.07357860    0.00114322    0.00060626    0.00053696
   12.17391304    0.00124512    0.00065931    0.00058581
   12.27424749    0.00135660    0.00071691    0.00063969
   12.37458194    0.00148026    0.00078046    0.00069980
   12.47491639    0.00161888    0.00085153    0.00076735
   12.57525084    0.00177439    0.00093119    0.00084320
   12.67558528    0.00194651    0.00101933    0.00092718
   12.77591973    0.00213167    0.00111398    0.00101769
   12.87625418    0.00232218    0.00121087    0.00111131
   12.97658863    0.00250650    0.00130363    0.00120287
   13.07692308    0.00267094    0.00138480    0.00128614
   13.17725753    0.00280304    0.00144793    0.00135512
   13.27759197    0.00289543    0.00148972    0.00140572
   13.37792642    0.00294818    0.00151119    0.00143699
   13.47826087    0.00296775    0.00151668    0.00145107
   13.57859532    0.00296291    0.00151126    0.00145164
   13.67892977    0.00293958    0.00149804    0.00144154
