# Final state angular momentum:   1
# Broadening parameter (in eV):    1.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma_tot   sigma_up    sigma_down 
  -10.00000000    0.00002392    0.00001205    0.00001187
   -9.89966555    0.00002410    0.00001214    0.00001196
   -9.79933110    0.00002428    0.00001223    0.00001205
   -9.69899666    0.00002447    0.00001232    0.00001215
   -9.59866221    0.00002465    0.00001241    0.00001224
   -9.49832776    0.00002484    0.00001251    0.00001233
   -9.39799331    0.00002504    0.00001261    0.00001243
   -9.29765886    0.00002523    0.00001270    0.00001253
   -9.19732441    0.00002543    0.00001280    0.00001263
   -9.09698997    0.00002563    0.00001290    0.00001273
   -8.99665552    0.00002584    0.00001301    0.00001283
   -8.89632107    0.00002604    0.00001311    0.00001293
   -8.79598662    0.00002625    0.00001321    0.00001304
   -8.69565217    0.00002647    0.00001332    0.00001315
   -8.59531773    0.00002668    0.00001343    0.00001325
   -8.49498328    0.00002690    0.00001354    0.00001336
   -8.39464883    0.00002712    0.00001365    0.00001347
   -8.29431438    0.00002735    0.00001376    0.00001359
   -8.19397993    0.00002758    0.00001388    0.00001370
   -8.09364548    0.00002781    0.00001399    0.00001382
   -7.99331104    0.00002805    0.00001411    0.00001394
   -7.89297659    0.00002829    0.00001423    0.00001406
   -7.79264214    0.00002853    0.00001435    0.00001418
   -7.69230769    0.00002878    0.00001447    0.00001431
   -7.59197324    0.00002903    0.00001460    0.00001443
   -7.49163880    0.00002929    0.00001473    0.00001456
   -7.39130435    0.00002955    0.00001485    0.00001469
   -7.29096990    0.00002981    0.00001498    0.00001482
   -7.19063545    0.00003008    0.00001512    0.00001496
   -7.09030100    0.00003035    0.00001525    0.00001510
   -6.98996656    0.00003063    0.00001539    0.00001524
   -6.88963211    0.00003091    0.00001553    0.00001538
   -6.78929766    0.00003119    0.00001567    0.00001552
   -6.68896321    0.00003149    0.00001582    0.00001567
   -6.58862876    0.00003178    0.00001596    0.00001582
   -6.48829431    0.00003208    0.00001611    0.00001597
   -6.38795987    0.00003239    0.00001626    0.00001613
   -6.28762542    0.00003270    0.00001642    0.00001629
   -6.18729097    0.00003302    0.00001657    0.00001645
   -6.08695652    0.00003334    0.00001673    0.00001661
   -5.98662207    0.00003367    0.00001689    0.00001678
   -5.88628763    0.00003401    0.00001706    0.00001695
   -5.78595318    0.00003435    0.00001723    0.00001712
   -5.68561873    0.00003470    0.00001740    0.00001730
   -5.58528428    0.00003505    0.00001757    0.00001748
   -5.48494983    0.00003541    0.00001775    0.00001767
   -5.38461538    0.00003578    0.00001793    0.00001786
   -5.28428094    0.00003616    0.00001811    0.00001805
   -5.18394649    0.00003654    0.00001830    0.00001825
   -5.08361204    0.00003693    0.00001849    0.00001845
   -4.98327759    0.00003733    0.00001868    0.00001865
   -4.88294314    0.00003774    0.00001888    0.00001886
   -4.78260870    0.00003816    0.00001908    0.00001908
   -4.68227425    0.00003858    0.00001928    0.00001930
   -4.58193980    0.00003901    0.00001949    0.00001952
   -4.48160535    0.00003946    0.00001971    0.00001975
   -4.38127090    0.00003991    0.00001992    0.00001998
   -4.28093645    0.00004037    0.00002015    0.00002023
   -4.18060201    0.00004085    0.00002037    0.00002047
   -4.08026756    0.00004133    0.00002060    0.00002072
   -3.97993311    0.00004183    0.00002084    0.00002098
   -3.87959866    0.00004233    0.00002108    0.00002125
   -3.77926421    0.00004285    0.00002133    0.00002152
   -3.67892977    0.00004338    0.00002158    0.00002180
   -3.57859532    0.00004393    0.00002184    0.00002209
   -3.47826087    0.00004449    0.00002210    0.00002239
   -3.37792642    0.00004506    0.00002237    0.00002269
   -3.27759197    0.00004565    0.00002264    0.00002301
   -3.17725753    0.00004625    0.00002292    0.00002333
   -3.07692308    0.00004688    0.00002321    0.00002367
   -2.97658863    0.00004751    0.00002350    0.00002401
   -2.87625418    0.00004817    0.00002380    0.00002437
   -2.77591973    0.00004884    0.00002411    0.00002473
   -2.67558528    0.00004954    0.00002443    0.00002511
   -2.57525084    0.00005025    0.00002475    0.00002550
   -2.47491639    0.00005099    0.00002508    0.00002591
   -2.37458194    0.00005175    0.00002542    0.00002633
   -2.27424749    0.00005253    0.00002577    0.00002677
   -2.17391304    0.00005334    0.00002612    0.00002722
   -2.07357860    0.00005418    0.00002649    0.00002769
   -1.97324415    0.00005505    0.00002686    0.00002818
   -1.87290970    0.00005594    0.00002725    0.00002870
   -1.77257525    0.00005687    0.00002764    0.00002923
   -1.67224080    0.00005783    0.00002805    0.00002978
   -1.57190635    0.00005883    0.00002847    0.00003036
   -1.47157191    0.00005987    0.00002890    0.00003097
   -1.37123746    0.00006094    0.00002934    0.00003160
   -1.27090301    0.00006206    0.00002980    0.00003226
   -1.17056856    0.00006322    0.00003026    0.00003295
   -1.07023411    0.00006442    0.00003075    0.00003368
   -0.96989967    0.00006567    0.00003124    0.00003443
   -0.86956522    0.00006697    0.00003175    0.00003522
   -0.76923077    0.00006832    0.00003228    0.00003604
   -0.66889632    0.00006972    0.00003283    0.00003689
   -0.56856187    0.00007117    0.00003339    0.00003778
   -0.46822742    0.00007266    0.00003397    0.00003869
   -0.36789298    0.00007419    0.00003457    0.00003962
   -0.26755853    0.00007576    0.00003519    0.00004057
   -0.16722408    0.00007737    0.00003583    0.00004154
   -0.06688963    0.00007900    0.00003649    0.00004251
    0.03344482    0.00008066    0.00003718    0.00004348
    0.13377926    0.00008234    0.00003790    0.00004444
    0.23411371    0.00008402    0.00003864    0.00004538
    0.33444816    0.00008570    0.00003941    0.00004630
    0.43478261    0.00008739    0.00004020    0.00004719
    0.53511706    0.00008908    0.00004103    0.00004805
    0.63545151    0.00009077    0.00004190    0.00004887
    0.73578595    0.00009246    0.00004279    0.00004967
    0.83612040    0.00009417    0.00004373    0.00005044
    0.93645485    0.00009589    0.00004470    0.00005119
    1.03678930    0.00009765    0.00004572    0.00005193
    1.13712375    0.00009944    0.00004678    0.00005266
    1.23745819    0.00010129    0.00004789    0.00005340
    1.33779264    0.00010321    0.00004905    0.00005416
    1.43812709    0.00010522    0.00005027    0.00005495
    1.53846154    0.00010732    0.00005154    0.00005578
    1.63879599    0.00010954    0.00005288    0.00005666
    1.73913043    0.00011189    0.00005429    0.00005761
    1.83946488    0.00011439    0.00005576    0.00005862
    1.93979933    0.00011704    0.00005732    0.00005973
    2.04013378    0.00011987    0.00005896    0.00006092
    2.14046823    0.00012289    0.00006069    0.00006221
    2.24080268    0.00012612    0.00006251    0.00006361
    2.34113712    0.00012956    0.00006444    0.00006512
    2.44147157    0.00013323    0.00006649    0.00006675
    2.54180602    0.00013716    0.00006865    0.00006851
    2.64214047    0.00014136    0.00007095    0.00007041
    2.74247492    0.00014585    0.00007339    0.00007246
