# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00004220
   -9.88988989    0.00004263
   -9.77977978    0.00004306
   -9.66966967    0.00004350
   -9.55955956    0.00004396
   -9.44944945    0.00004442
   -9.33933934    0.00004488
   -9.22922923    0.00004536
   -9.11911912    0.00004585
   -9.00900901    0.00004635
   -8.89889890    0.00004686
   -8.78878879    0.00004738
   -8.67867868    0.00004791
   -8.56856857    0.00004845
   -8.45845846    0.00004900
   -8.34834835    0.00004957
   -8.23823824    0.00005014
   -8.12812813    0.00005074
   -8.01801802    0.00005134
   -7.90790791    0.00005196
   -7.79779780    0.00005259
   -7.68768769    0.00005324
   -7.57757758    0.00005391
   -7.46746747    0.00005459
   -7.35735736    0.00005529
   -7.24724725    0.00005601
   -7.13713714    0.00005675
   -7.02702703    0.00005750
   -6.91691692    0.00005828
   -6.80680681    0.00005908
   -6.69669670    0.00005990
   -6.58658659    0.00006075
   -6.47647648    0.00006162
   -6.36636637    0.00006252
   -6.25625626    0.00006344
   -6.14614615    0.00006440
   -6.03603604    0.00006538
   -5.92592593    0.00006640
   -5.81581582    0.00006745
   -5.70570571    0.00006854
   -5.59559560    0.00006967
   -5.48548549    0.00007084
   -5.37537538    0.00007205
   -5.26526527    0.00007331
   -5.15515516    0.00007462
   -5.04504505    0.00007597
   -4.93493493    0.00007739
   -4.82482482    0.00007886
   -4.71471471    0.00008040
   -4.60460460    0.00008201
   -4.49449449    0.00008369
   -4.38438438    0.00008546
   -4.27427427    0.00008730
   -4.16416416    0.00008924
   -4.05405405    0.00009129
   -3.94394394    0.00009344
   -3.83383383    0.00009571
   -3.72372372    0.00009811
   -3.61361361    0.00010065
   -3.50350350    0.00010335
   -3.39339339    0.00010622
   -3.28328328    0.00010928
   -3.17317317    0.00011255
   -3.06306306    0.00011605
   -2.95295295    0.00011981
   -2.84284284    0.00012385
   -2.73273273    0.00012822
   -2.62262262    0.00013294
   -2.51251251    0.00013808
   -2.40240240    0.00014367
   -2.29229229    0.00014979
   -2.18218218    0.00015651
   -2.07207207    0.00016392
   -1.96196196    0.00017211
   -1.85185185    0.00018121
   -1.74174174    0.00019138
   -1.63163163    0.00020278
   -1.52152152    0.00021563
   -1.41141141    0.00023019
   -1.30130130    0.00024676
   -1.19119119    0.00026572
   -1.08108108    0.00028752
   -0.97097097    0.00031266
   -0.86086086    0.00034177
   -0.75075075    0.00037549
   -0.64064064    0.00041452
   -0.53053053    0.00045946
   -0.42042042    0.00051066
   -0.31031031    0.00056802
   -0.20020020    0.00063066
   -0.09009009    0.00069666
    0.02002002    0.00076412
    0.13013013    0.00082727
    0.24024024    0.00088471
    0.35035035    0.00093279
    0.46046046    0.00096966
    0.57057057    0.00099464
    0.68068068    0.00100773
    0.79079079    0.00100901
    0.90090090    0.00099848
    1.01101101    0.00097638
    1.12112112    0.00094363
    1.23123123    0.00090216
    1.34134134    0.00085455
