# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00004166
   -9.88988989    0.00004207
   -9.77977978    0.00004249
   -9.66966967    0.00004291
   -9.55955956    0.00004335
   -9.44944945    0.00004379
   -9.33933934    0.00004424
   -9.22922923    0.00004470
   -9.11911912    0.00004517
   -9.00900901    0.00004564
   -8.89889890    0.00004613
   -8.78878879    0.00004663
   -8.67867868    0.00004713
   -8.56856857    0.00004765
   -8.45845846    0.00004818
   -8.34834835    0.00004872
   -8.23823824    0.00004927
   -8.12812813    0.00004983
   -8.01801802    0.00005040
   -7.90790791    0.00005099
   -7.79779780    0.00005159
   -7.68768769    0.00005221
   -7.57757758    0.00005284
   -7.46746747    0.00005348
   -7.35735736    0.00005414
   -7.24724725    0.00005482
   -7.13713714    0.00005551
   -7.02702703    0.00005622
   -6.91691692    0.00005695
   -6.80680681    0.00005770
   -6.69669670    0.00005847
   -6.58658659    0.00005926
   -6.47647648    0.00006007
   -6.36636637    0.00006091
   -6.25625626    0.00006177
   -6.14614615    0.00006265
   -6.03603604    0.00006357
   -5.92592593    0.00006451
   -5.81581582    0.00006548
   -5.70570571    0.00006648
   -5.59559560    0.00006752
   -5.48548549    0.00006859
   -5.37537538    0.00006970
   -5.26526527    0.00007085
   -5.15515516    0.00007204
   -5.04504505    0.00007328
   -4.93493493    0.00007456
   -4.82482482    0.00007589
   -4.71471471    0.00007728
   -4.60460460    0.00007873
   -4.49449449    0.00008024
   -4.38438438    0.00008182
   -4.27427427    0.00008347
   -4.16416416    0.00008520
   -4.05405405    0.00008702
   -3.94394394    0.00008892
   -3.83383383    0.00009093
   -3.72372372    0.00009304
   -3.61361361    0.00009527
   -3.50350350    0.00009763
   -3.39339339    0.00010014
   -3.28328328    0.00010280
   -3.17317317    0.00010563
   -3.06306306    0.00010865
   -2.95295295    0.00011188
   -2.84284284    0.00011534
   -2.73273273    0.00011907
   -2.62262262    0.00012308
   -2.51251251    0.00012743
   -2.40240240    0.00013215
   -2.29229229    0.00013729
   -2.18218218    0.00014291
   -2.07207207    0.00014908
   -1.96196196    0.00015588
   -1.85185185    0.00016340
   -1.74174174    0.00017176
   -1.63163163    0.00018109
   -1.52152152    0.00019157
   -1.41141141    0.00020339
   -1.30130130    0.00021678
   -1.19119119    0.00023205
   -1.08108108    0.00024952
   -0.97097097    0.00026961
   -0.86086086    0.00029278
   -0.75075075    0.00031956
   -0.64064064    0.00035051
   -0.53053053    0.00038613
   -0.42042042    0.00042681
   -0.31031031    0.00047260
   -0.20020020    0.00052307
   -0.09009009    0.00057701
    0.02002002    0.00063315
    0.13013013    0.00068816
    0.24024024    0.00074018
    0.35035035    0.00078647
    0.46046046    0.00082501
    0.57057057    0.00085448
    0.68068068    0.00087416
    0.79079079    0.00088372
    0.90090090    0.00088306
    1.01101101    0.00087238
    1.12112112    0.00085230
    1.23123123    0.00082387
    1.34134134    0.00078851
    1.45145145    0.00074787
    1.56156156    0.00070363
    1.67167167    0.00065736
    1.78178178    0.00061056
    1.89189189    0.00056462
    2.00200200    0.00052077
    2.11211211    0.00048006
    2.22222222    0.00044322
    2.33233233    0.00041063
    2.44244244    0.00038231
    2.55255255    0.00035806
    2.66266266    0.00033749
    2.77277277    0.00032018
    2.88288288    0.00030569
    2.99299299    0.00029362
    3.10310310    0.00028363
    3.21321321    0.00027542
    3.32332332    0.00026873
    3.43343343    0.00026335
    3.54354354    0.00025912
    3.65365365    0.00025589
    3.76376376    0.00025353
    3.87387387    0.00025197
    3.98398398    0.00025110
    4.09409409    0.00025088
    4.20420420    0.00025124
    4.31431431    0.00025214
    4.42442442    0.00025354
    4.53453453    0.00025542
    4.64464464    0.00025775
    4.75475475    0.00026052
    4.86486486    0.00026371
    4.97497497    0.00026731
    5.08508509    0.00027133
    5.19519520    0.00027575
    5.30530531    0.00028059
    5.41541542    0.00028584
    5.52552553    0.00029152
    5.63563564    0.00029763
    5.74574575    0.00030419
    5.85585586    0.00031122
    5.96596597    0.00031874
    6.07607608    0.00032678
    6.18618619    0.00033535
    6.29629630    0.00034449
    6.40640641    0.00035424
    6.51651652    0.00036464
    6.62662663    0.00037573
    6.73673674    0.00038757
    6.84684685    0.00040021
    6.95695696    0.00041372
    7.06706707    0.00042817
    7.17717718    0.00044365
    7.28728729    0.00046025
    7.39739740    0.00047809
    7.50750751    0.00049728
    7.61761762    0.00051797
    7.72772773    0.00054032
    7.83783784    0.00056452
    7.94794795    0.00059079
    8.05805806    0.00061938
    8.16816817    0.00065058
    8.27827828    0.00068473
    8.38838839    0.00072222
    8.49849850    0.00076349
    8.60860861    0.00080902
    8.71871872    0.00085935
    8.82882883    0.00091502
    8.93893894    0.00097654
    9.04904905    0.00104437
    9.15915916    0.00111890
    9.26926927    0.00120050
