# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.02723709
   -9.86622074    0.02767578
   -9.73244147    0.02789761
   -9.59866221    0.02791586
   -9.46488294    0.02789902
   -9.33110368    0.02808128
   -9.19732441    0.02866600
   -9.06354515    0.02978209
   -8.92976589    0.03147696
   -8.79598662    0.03371071
   -8.66220736    0.03634341
   -8.52842809    0.03914450
   -8.39464883    0.04186876
   -8.26086957    0.04438282
   -8.12709030    0.04672154
   -7.99331104    0.04898350
   -7.85953177    0.05116179
   -7.72575251    0.05309101
   -7.59197324    0.05455970
   -7.45819398    0.05547357
   -7.32441472    0.05594564
   -7.19063545    0.05628941
   -7.05685619    0.05693094
   -6.92307692    0.05825999
   -6.78929766    0.06047425
   -6.65551839    0.06346780
   -6.52173913    0.06679403
   -6.38795987    0.06976193
   -6.25418060    0.07171514
   -6.12040134    0.07236958
   -5.98662207    0.07193920
   -5.85284281    0.07097155
   -5.71906355    0.07009067
   -5.58528428    0.06979975
   -5.45150502    0.07035210
   -5.31772575    0.07170431
   -5.18394649    0.07358969
   -5.05016722    0.07569528
   -4.91638796    0.07784067
   -4.78260870    0.08003612
   -4.64882943    0.08237304
   -4.51505017    0.08480080
   -4.38127090    0.08694203
   -4.24749164    0.08813620
   -4.11371237    0.08776434
   -3.97993311    0.08564695
   -3.84615385    0.08217133
   -3.71237458    0.07802940
   -3.57859532    0.07384592
   -3.44481605    0.07002526
   -3.31103679    0.06680929
   -3.17725753    0.06432947
   -3.04347826    0.06257275
   -2.90969900    0.06136571
   -2.77591973    0.06045502
   -2.64214047    0.05962354
   -2.50836120    0.05874168
   -2.37458194    0.05774221
   -2.24080268    0.05655501
   -2.10702341    0.05503698
   -1.97324415    0.05297558
   -1.83946488    0.05021796
   -1.70568562    0.04682692
   -1.57190635    0.04310201
   -1.43812709    0.03944006
   -1.30434783    0.03616449
   -1.17056856    0.03343693
   -1.03678930    0.03125211
   -0.90301003    0.02946922
   -0.76923077    0.02786391
   -0.63545151    0.02621426
   -0.50167224    0.02440204
   -0.36789298    0.02245553
   -0.23411371    0.02049637
   -0.10033445    0.01865025
    0.03344482    0.01699529
    0.16722408    0.01555848
    0.30100334    0.01433335
    0.43478261    0.01329772
    0.56856187    0.01242503
    0.70234114    0.01168986
    0.83612040    0.01107010
    0.96989967    0.01054739
    1.10367893    0.01010687
    1.23745819    0.00973661
    1.37123746    0.00942714
    1.50501672    0.00917095
    1.63879599    0.00896217
    1.77257525    0.00879621
    1.90635452    0.00866960
    2.04013378    0.00857975
    2.17391304    0.00852489
    2.30769231    0.00850399
    2.44147157    0.00851667
    2.57525084    0.00856322
    2.70903010    0.00864460
    2.84280936    0.00876252
    2.97658863    0.00891949
    3.11036789    0.00911897
    3.24414716    0.00936552
    3.37792642    0.00966505
    3.51170569    0.01002515
    3.64548495    0.01045543
    3.77926421    0.01096802
    3.91304348    0.01157801
    4.04682274    0.01230392
    4.18060201    0.01316769
    4.31438127    0.01419368
    4.44816054    0.01540558
    4.58193980    0.01681956
    4.71571906    0.01843242
    4.84949833    0.02020730
    4.98327759    0.02206703
    5.11705686    0.02391154
    5.25083612    0.02566369
    5.38461538    0.02731374
    5.51839465    0.02891492
    5.65217391    0.03052320
    5.78595318    0.03214328
    5.91973244    0.03374523
    6.05351171    0.03533112
    6.18729097    0.03696125
    6.32107023    0.03870411
    6.45484950    0.04058410
    6.58862876    0.04259195
    6.72240803    0.04472221
    6.85618729    0.04698095
    6.98996656    0.04938575
    7.12374582    0.05198837
    7.25752508    0.05486918
    7.39130435    0.05805809
    7.52508361    0.06144486
    7.65886288    0.06478140
    7.79264214    0.06777639
    7.92642140    0.07017640
    8.06020067    0.07179805
    8.19397993    0.07258764
    8.32775920    0.07269307
    8.46153846    0.07243270
    8.59531773    0.07217584
    8.72909699    0.07225881
    8.86287625    0.07296378
    8.99665552    0.07447674
    9.13043478    0.07677292
    9.26421405    0.07949970
    9.39799331    0.08199046
    9.53177258    0.08347174
    9.66555184    0.08336728
    9.79933110    0.08152444
    9.93311037    0.07826310
   10.06688963    0.07423257
   10.20066890    0.07014513
   10.33444816    0.06654467
   10.46822742    0.06372524
   10.60200669    0.06176065
   10.73578595    0.06054796
   10.86956522    0.05985595
   11.00334448    0.05943997
   11.13712375    0.05920411
   11.27090301    0.05927256
   11.40468227    0.05988888
   11.53846154    0.06124348
   11.67224080    0.06337587
   11.80602007    0.06620413
   11.93979933    0.06963496
   12.07357860    0.07363151
   12.20735786    0.07813641
   12.34113712    0.08291754
   12.47491639    0.08752652
   12.60869565    0.09145002
   12.74247492    0.09430725
   12.87625418    0.09590158
   13.01003344    0.09615605
   13.14381271    0.09508093
   13.27759197    0.09276802
   13.41137124    0.08937998
   13.54515050    0.08521058
   13.67892977    0.08075446
   13.81270903    0.07661662
   13.94648829    0.07330383
   14.08026756    0.07109261
   14.21404682    0.07005298
   14.34782609    0.07015138
   14.48160535    0.07130107
   14.61538462    0.07329349
   14.74916388    0.07568794
   14.88294314    0.07782129
   15.01672241    0.07902614
   15.15050167    0.07893835
   15.28428094    0.07763119
