# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00059369
   -9.95995996    0.00059595
   -9.91991992    0.00059823
   -9.87987988    0.00060051
   -9.83983984    0.00060281
   -9.79979980    0.00060512
   -9.75975976    0.00060745
   -9.71971972    0.00060979
   -9.67967968    0.00061214
   -9.63963964    0.00061451
   -9.59959960    0.00061689
   -9.55955956    0.00061929
   -9.51951952    0.00062170
   -9.47947948    0.00062413
   -9.43943944    0.00062657
   -9.39939940    0.00062902
   -9.35935936    0.00063149
   -9.31931932    0.00063398
   -9.27927928    0.00063648
   -9.23923924    0.00063899
   -9.19919920    0.00064152
   -9.15915916    0.00064407
   -9.11911912    0.00064663
   -9.07907908    0.00064921
   -9.03903904    0.00065180
   -8.99899900    0.00065441
   -8.95895896    0.00065704
   -8.91891892    0.00065968
   -8.87887888    0.00066234
   -8.83883884    0.00066502
   -8.79879880    0.00066771
   -8.75875876    0.00067042
   -8.71871872    0.00067315
   -8.67867868    0.00067589
   -8.63863864    0.00067865
   -8.59859860    0.00068143
   -8.55855856    0.00068423
   -8.51851852    0.00068704
   -8.47847848    0.00068987
   -8.43843844    0.00069272
   -8.39839840    0.00069559
   -8.35835836    0.00069848
   -8.31831832    0.00070139
   -8.27827828    0.00070431
   -8.23823824    0.00070726
   -8.19819820    0.00071022
   -8.15815816    0.00071320
   -8.11811812    0.00071620
   -8.07807808    0.00071922
   -8.03803804    0.00072227
   -7.99799800    0.00072533
   -7.95795796    0.00072841
   -7.91791792    0.00073151
   -7.87787788    0.00073464
   -7.83783784    0.00073778
   -7.79779780    0.00074095
   -7.75775776    0.00074413
   -7.71771772    0.00074734
   -7.67767768    0.00075057
   -7.63763764    0.00075382
   -7.59759760    0.00075709
   -7.55755756    0.00076039
   -7.51751752    0.00076371
   -7.47747748    0.00076705
   -7.43743744    0.00077041
   -7.39739740    0.00077380
   -7.35735736    0.00077721
   -7.31731732    0.00078064
   -7.27727728    0.00078410
   -7.23723724    0.00078758
   -7.19719720    0.00079108
   -7.15715716    0.00079461
   -7.11711712    0.00079817
   -7.07707708    0.00080175
   -7.03703704    0.00080535
   -6.99699700    0.00080898
   -6.95695696    0.00081264
   -6.91691692    0.00081632
   -6.87687688    0.00082003
   -6.83683684    0.00082376
   -6.79679680    0.00082753
   -6.75675676    0.00083131
   -6.71671672    0.00083513
   -6.67667668    0.00083897
   -6.63663664    0.00084284
   -6.59659660    0.00084674
   -6.55655656    0.00085067
   -6.51651652    0.00085463
   -6.47647648    0.00085861
   -6.43643644    0.00086263
   -6.39639640    0.00086667
   -6.35635636    0.00087074
