# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00112818
   -9.95995996    0.00113287
   -9.91991992    0.00113759
   -9.87987988    0.00114235
   -9.83983984    0.00114713
   -9.79979980    0.00115195
   -9.75975976    0.00115680
   -9.71971972    0.00116167
   -9.67967968    0.00116659
   -9.63963964    0.00117153
   -9.59959960    0.00117650
   -9.55955956    0.00118151
   -9.51951952    0.00118655
   -9.47947948    0.00119162
   -9.43943944    0.00119673
   -9.39939940    0.00120187
   -9.35935936    0.00120705
   -9.31931932    0.00121226
   -9.27927928    0.00121750
   -9.23923924    0.00122278
   -9.19919920    0.00122810
   -9.15915916    0.00123345
   -9.11911912    0.00123884
   -9.07907908    0.00124426
   -9.03903904    0.00124972
   -8.99899900    0.00125522
   -8.95895896    0.00126076
   -8.91891892    0.00126633
   -8.87887888    0.00127194
   -8.83883884    0.00127759
   -8.79879880    0.00128328
   -8.75875876    0.00128901
   -8.71871872    0.00129478
   -8.67867868    0.00130058
   -8.63863864    0.00130643
   -8.59859860    0.00131232
   -8.55855856    0.00131825
   -8.51851852    0.00132423
   -8.47847848    0.00133024
   -8.43843844    0.00133630
   -8.39839840    0.00134240
   -8.35835836    0.00134854
   -8.31831832    0.00135473
   -8.27827828    0.00136096
   -8.23823824    0.00136723
   -8.19819820    0.00137355
   -8.15815816    0.00137992
   -8.11811812    0.00138633
   -8.07807808    0.00139279
   -8.03803804    0.00139929
   -7.99799800    0.00140585
   -7.95795796    0.00141245
   -7.91791792    0.00141910
   -7.87787788    0.00142579
   -7.83783784    0.00143254
   -7.79779780    0.00143933
   -7.75775776    0.00144618
   -7.71771772    0.00145308
   -7.67767768    0.00146003
   -7.63763764    0.00146703
   -7.59759760    0.00147408
   -7.55755756    0.00148118
   -7.51751752    0.00148834
   -7.47747748    0.00149556
   -7.43743744    0.00150282
   -7.39739740    0.00151015
   -7.35735736    0.00151752
   -7.31731732    0.00152496
   -7.27727728    0.00153245
   -7.23723724    0.00154000
   -7.19719720    0.00154761
   -7.15715716    0.00155527
   -7.11711712    0.00156300
   -7.07707708    0.00157078
   -7.03703704    0.00157863
   -6.99699700    0.00158653
   -6.95695696    0.00159450
   -6.91691692    0.00160253
   -6.87687688    0.00161063
   -6.83683684    0.00161879
   -6.79679680    0.00162701
   -6.75675676    0.00163530
   -6.71671672    0.00164365
   -6.67667668    0.00165208
   -6.63663664    0.00166057
   -6.59659660    0.00166912
   -6.55655656    0.00167775
   -6.51651652    0.00168645
   -6.47647648    0.00169521
   -6.43643644    0.00170405
   -6.39639640    0.00171296
   -6.35635636    0.00172195
   -6.31631632    0.00173100
   -6.27627628    0.00174014
   -6.23623624    0.00174935
   -6.19619620    0.00175863
   -6.15615616    0.00176799
   -6.11611612    0.00177743
   -6.07607608    0.00178695
   -6.03603604    0.00179655
   -5.99599600    0.00180623
   -5.95595596    0.00181599
   -5.91591592    0.00182584
   -5.87587588    0.00183577
   -5.83583584    0.00184578
   -5.79579580    0.00185588
   -5.75575576    0.00186607
   -5.71571572    0.00187635
   -5.67567568    0.00188671
   -5.63563564    0.00189716
   -5.59559560    0.00190771
   -5.55555556    0.00191835
   -5.51551552    0.00192908
   -5.47547548    0.00193990
   -5.43543544    0.00195082
   -5.39539540    0.00196184
   -5.35535536    0.00197296
   -5.31531532    0.00198417
   -5.27527528    0.00199549
   -5.23523524    0.00200691
   -5.19519520    0.00201843
   -5.15515516    0.00203005
   -5.11511512    0.00204178
   -5.07507508    0.00205362
   -5.03503504    0.00206557
   -4.99499499    0.00207762
   -4.95495495    0.00208979
   -4.91491491    0.00210207
   -4.87487487    0.00211446
   -4.83483483    0.00212697
   -4.79479479    0.00213960
   -4.75475475    0.00215234
   -4.71471471    0.00216520
   -4.67467467    0.00217819
   -4.63463463    0.00219130
   -4.59459459    0.00220453
   -4.55455455    0.00221789
   -4.51451451    0.00223138
   -4.47447447    0.00224500
   -4.43443443    0.00225875
   -4.39439439    0.00227263
   -4.35435435    0.00228665
   -4.31431431    0.00230081
   -4.27427427    0.00231510
   -4.23423423    0.00232954
   -4.19419419    0.00234412
   -4.15415415    0.00235884
   -4.11411411    0.00237371
   -4.07407407    0.00238873
   -4.03403403    0.00240390
   -3.99399399    0.00241922
   -3.95395395    0.00243470
   -3.91391391    0.00245033
   -3.87387387    0.00246613
   -3.83383383    0.00248209
   -3.79379379    0.00249821
   -3.75375375    0.00251449
   -3.71371371    0.00253095
   -3.67367367    0.00254758
   -3.63363363    0.00256438
   -3.59359359    0.00258135
   -3.55355355    0.00259851
   -3.51351351    0.00261585
   -3.47347347    0.00263337
   -3.43343343    0.00265108
   -3.39339339    0.00266898
   -3.35335335    0.00268707
   -3.31331331    0.00270536
   -3.27327327    0.00272385
   -3.23323323    0.00274253
   -3.19319319    0.00276143
   -3.15315315    0.00278053
   -3.11311311    0.00279984
   -3.07307307    0.00281936
   -3.03303303    0.00283910
   -2.99299299    0.00285907
   -2.95295295    0.00287926
   -2.91291291    0.00289967
   -2.87287287    0.00292032
   -2.83283283    0.00294120
   -2.79279279    0.00296233
   -2.75275275    0.00298369
   -2.71271271    0.00300530
   -2.67267267    0.00302717
   -2.63263263    0.00304928
   -2.59259259    0.00307166
   -2.55255255    0.00309430
   -2.51251251    0.00311721
   -2.47247247    0.00314039
   -2.43243243    0.00316384
   -2.39239239    0.00318758
   -2.35235235    0.00321161
   -2.31231231    0.00323592
   -2.27227227    0.00326053
   -2.23223223    0.00328544
   -2.19219219    0.00331066
   -2.15215215    0.00333619
   -2.11211211    0.00336203
   -2.07207207    0.00338820
   -2.03203203    0.00341470
   -1.99199199    0.00344153
   -1.95195195    0.00346870
   -1.91191191    0.00349621
   -1.87187187    0.00352408
   -1.83183183    0.00355230
   -1.79179179    0.00358089
   -1.75175175    0.00360985
   -1.71171171    0.00363919
   -1.67167167    0.00366892
   -1.63163163    0.00369904
   -1.59159159    0.00372955
   -1.55155155    0.00376048
   -1.51151151    0.00379181
   -1.47147147    0.00382358
   -1.43143143    0.00385577
   -1.39139139    0.00388840
   -1.35135135    0.00392148
   -1.31131131    0.00395501
   -1.27127127    0.00398901
   -1.23123123    0.00402348
   -1.19119119    0.00405844
   -1.15115115    0.00409389
   -1.11111111    0.00412984
   -1.07107107    0.00416631
   -1.03103103    0.00420330
   -0.99099099    0.00424082
   -0.95095095    0.00427889
   -0.91091091    0.00431751
   -0.87087087    0.00435670
   -0.83083083    0.00439648
   -0.79079079    0.00443684
   -0.75075075    0.00447780
   -0.71071071    0.00451939
   -0.67067067    0.00456160
   -0.63063063    0.00460446
   -0.59059059    0.00464798
   -0.55055055    0.00469216
   -0.51051051    0.00473704
   -0.47047047    0.00478261
   -0.43043043    0.00482891
   -0.39039039    0.00487594
   -0.35035035    0.00492371
   -0.31031031    0.00497226
   -0.27027027    0.00502159
   -0.23023023    0.00507172
   -0.19019019    0.00512267
   -0.15015015    0.00517447
   -0.11011011    0.00522712
   -0.07007007    0.00528038
   -0.03003003    0.00533458
    0.01001001    0.00538988
    0.05005005    0.00544631
    0.09009009    0.00550392
    0.13013013    0.00556231
    0.17017017    0.00562159
    0.21021021    0.00568192
    0.25025025    0.00574332
    0.29029029    0.00580581
    0.33033033    0.00586943
    0.37037037    0.00593420
    0.41041041    0.00600016
    0.45045045    0.00606733
    0.49049049    0.00613574
    0.53053053    0.00620544
    0.57057057    0.00627645
    0.61061061    0.00634880
    0.65065065    0.00642255
    0.69069069    0.00649772
    0.73073073    0.00657435
    0.77077077    0.00665249
    0.81081081    0.00673217
    0.85085085    0.00681345
    0.89089089    0.00689636
    0.93093093    0.00698096
    0.97097097    0.00706729
    1.01101101    0.00715541
    1.05105105    0.00724536
    1.09109109    0.00733721
    1.13113113    0.00743101
    1.17117117    0.00752683
    1.21121121    0.00762471
    1.25125125    0.00772474
    1.29129129    0.00782697
    1.33133133    0.00793147
    1.37137137    0.00803833
    1.41141141    0.00814761
    1.45145145    0.00825940
    1.49149149    0.00837378
    1.53153153    0.00849083
    1.57157157    0.00861065
    1.61161161    0.00873334
    1.65165165    0.00885898
    1.69169169    0.00898769
    1.73173173    0.00911957
    1.77177177    0.00925474
    1.81181181    0.00939331
    1.85185185    0.00953541
    1.89189189    0.00968118
    1.93193193    0.00983074
    1.97197197    0.00998424
    2.01201201    0.01014184
    2.05205205    0.01030369
    2.09209209    0.01046996
    2.13213213    0.01064082
    2.17217217    0.01081646
    2.21221221    0.01099707
    2.25225225    0.01118286
    2.29229229    0.01137405
    2.33233233    0.01157085
    2.37237237    0.01177352
    2.41241241    0.01198230
    2.45245245    0.01219746
    2.49249249    0.01241930
    2.53253253    0.01264809
    2.57257257    0.01288418
    2.61261261    0.01312788
    2.65265265    0.01337956
    2.69269269    0.01363959
    2.73273273    0.01390837
    2.77277277    0.01418633
    2.81281281    0.01447392
    2.85285285    0.01477163
    2.89289289    0.01507995
    2.93293293    0.01539943
    2.97297297    0.01573066
    3.01301301    0.01607423
    3.05305305    0.01643082
    3.09309309    0.01680110
    3.13313313    0.01718584
    3.17317317    0.01758581
    3.21321321    0.01800185
    3.25325325    0.01843488
    3.29329329    0.01888583
    3.33333333    0.01935573
    3.37337337    0.01984565
    3.41341341    0.02035675
    3.45345345    0.02089025
    3.49349349    0.02144744
    3.53353353    0.02202968
    3.57357357    0.02263841
    3.61361361    0.02327516
    3.65365365    0.02394152
    3.69369369    0.02463916
    3.73373373    0.02536979
    3.77377377    0.02613520
    3.81381381    0.02693723
    3.85385385    0.02777772
    3.89389389    0.02865855
    3.93393393    0.02958156
    3.97397397    0.03054854
    4.01401401    0.03156122
    4.05405405    0.03262118
    4.09409409    0.03372984
    4.13413413    0.03488838
    4.17417417    0.03609775
    4.21421421    0.03735854
    4.25425425    0.03867100
    4.29429429    0.04003498
    4.33433433    0.04144989
    4.37437437    0.04291472
    4.41441441    0.04442799
    4.45445445    0.04598773
    4.49449449    0.04759154
