# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00012567
   -9.90990991    0.00012670
   -9.81981982    0.00012775
   -9.72972973    0.00012881
   -9.63963964    0.00012989
   -9.54954955    0.00013098
   -9.45945946    0.00013209
   -9.36936937    0.00013322
   -9.27927928    0.00013436
   -9.18918919    0.00013552
   -9.09909910    0.00013670
   -9.00900901    0.00013790
   -8.91891892    0.00013911
   -8.82882883    0.00014035
   -8.73873874    0.00014160
   -8.64864865    0.00014288
   -8.55855856    0.00014417
   -8.46846847    0.00014549
   -8.37837838    0.00014682
   -8.28828829    0.00014818
   -8.19819820    0.00014956
   -8.10810811    0.00015097
   -8.01801802    0.00015240
   -7.92792793    0.00015385
   -7.83783784    0.00015532
   -7.74774775    0.00015682
   -7.65765766    0.00015835
   -7.56756757    0.00015990
   -7.47747748    0.00016148
   -7.38738739    0.00016309
   -7.29729730    0.00016473
   -7.20720721    0.00016640
   -7.11711712    0.00016809
   -7.02702703    0.00016982
   -6.93693694    0.00017158
   -6.84684685    0.00017337
   -6.75675676    0.00017519
   -6.66666667    0.00017705
   -6.57657658    0.00017894
   -6.48648649    0.00018087
   -6.39639640    0.00018284
   -6.30630631    0.00018484
   -6.21621622    0.00018689
   -6.12612613    0.00018897
   -6.03603604    0.00019109
   -5.94594595    0.00019326
   -5.85585586    0.00019547
   -5.76576577    0.00019773
   -5.67567568    0.00020003
   -5.58558559    0.00020238
   -5.49549550    0.00020478
   -5.40540541    0.00020724
   -5.31531532    0.00020974
   -5.22522523    0.00021230
   -5.13513514    0.00021491
   -5.04504505    0.00021758
   -4.95495495    0.00022031
   -4.86486486    0.00022310
   -4.77477477    0.00022595
   -4.68468468    0.00022887
   -4.59459459    0.00023185
   -4.50450450    0.00023491
   -4.41441441    0.00023803
   -4.32432432    0.00024123
   -4.23423423    0.00024451
   -4.14414414    0.00024787
   -4.05405405    0.00025131
   -3.96396396    0.00025483
   -3.87387387    0.00025844
   -3.78378378    0.00026214
   -3.69369369    0.00026594
   -3.60360360    0.00026984
   -3.51351351    0.00027383
   -3.42342342    0.00027794
   -3.33333333    0.00028215
   -3.24324324    0.00028647
   -3.15315315    0.00029092
   -3.06306306    0.00029548
   -2.97297297    0.00030018
   -2.88288288    0.00030500
   -2.79279279    0.00030997
   -2.70270270    0.00031508
   -2.61261261    0.00032034
   -2.52252252    0.00032576
   -2.43243243    0.00033134
   -2.34234234    0.00033709
   -2.25225225    0.00034302
   -2.16216216    0.00034914
   -2.07207207    0.00035544
   -1.98198198    0.00036196
   -1.89189189    0.00036868
   -1.80180180    0.00037563
   -1.71171171    0.00038281
   -1.62162162    0.00039024
   -1.53153153    0.00039792
   -1.44144144    0.00040588
   -1.35135135    0.00041412
   -1.26126126    0.00042266
   -1.17117117    0.00043151
   -1.08108108    0.00044070
   -0.99099099    0.00045024
   -0.90090090    0.00046014
   -0.81081081    0.00047044
   -0.72072072    0.00048116
   -0.63063063    0.00049231
   -0.54054054    0.00050393
   -0.45045045    0.00051603
   -0.36036036    0.00052866
   -0.27027027    0.00054182
   -0.18018018    0.00055556
   -0.09009009    0.44109965
    0.00000000    0.00058479
    0.09009009    0.00060039
    0.18018018    0.00061668
    0.27027027    0.00063373
    0.36036036    0.00065162
    0.45045045    0.00067042
    0.54054054    0.00069021
    0.63063063    0.00071105
    0.72072072    0.00073303
    0.81081081    0.00075623
    0.90090090    0.00078075
    0.99099099    0.00080670
    1.08108108    0.00083419
    1.17117117    0.00086335
    1.26126126    0.00089433
    1.35135135    0.00092729
    1.44144144    0.00096241
    1.53153153    0.00099989
    1.62162162    0.00103995
    1.71171171    0.00108286
    1.80180180    0.00112889
    1.89189189    0.00117839
    1.98198198    0.00123171
    2.07207207    0.00128929
    2.16216216    0.00135160
    2.25225225    0.00141921
    2.34234234    0.00149275
    2.43243243    0.00157297
    2.52252252    0.00166073
    2.61261261    0.00175705
    2.70270270    0.00186310
    2.79279279    0.00198029
    2.88288288    0.00211026
    2.97297297    0.00225501
    3.06306306    0.00241688
    3.15315315    0.00259876
    3.24324324    0.00280409
    3.33333333    0.00303714
    3.42342342    0.00330314
    3.51351351    0.00360855
    3.60360360    0.00396148
    3.69369369    0.00437213
    3.78378378    0.00485341
    3.87387387    0.00542181
    3.96396396    0.00609849
    4.05405405    0.00691072
    4.14414414    0.00789364
    4.23423423    0.00909231
    4.32432432    0.01056363
    4.41441441    0.01237697
    4.50450450    0.01461075
    4.59459459    0.01733895
    4.68468468    0.02059655
    4.77477477    0.02430913
    4.86486486    0.02818446
    4.95495495    0.03162137
    5.04504505    0.03379070
    5.13513514    0.03401786
    5.22522523    0.03224499
    5.31531532    0.02907596
    5.40540541    0.02534917
    5.49549550    0.02171540
    5.58558559    0.01851309
    5.67567568    0.01584484
    5.76576577    0.01368914
    5.85585586    0.01197734
    5.94594595    0.01063303
    6.03603604    0.00958800
    6.12612613    0.00878694
    6.21621622    0.00818734
    6.30630631    0.00775791
    6.39639640    0.00747682
    6.48648649    0.00733025
    6.57657658    0.00731141
    6.66666667    0.00742010
    6.75675676    0.00766267
    6.84684685    0.00805249
    6.93693694    0.00861086
    7.02702703    0.00936810
    7.11711712    0.01036449
    7.20720721    0.01164980
    7.29729730    0.01327883
    7.38738739    0.01529731
    7.47747748    0.01770892
    7.56756757    0.02041368
    7.65765766    0.02312542
    7.74774775    0.02533288
    7.83783784    0.02643093
    7.92792793    0.02605400
    8.01801802    0.02434351
    8.10810811    0.02183948
    8.19819820    0.01912867
    8.28828829    0.01660605
    8.37837838    0.01444988
    8.46846847    0.01269659
    8.55855856    0.01131565
    8.64864865    0.01025516
    8.73873874    0.00946350
    8.82882883    0.00889754
    8.91891892    0.00852456
    9.00900901    0.00832196
    9.09909910    0.00827629
    9.18918919    0.00838247
    9.27927928    0.00864347
    9.36936937    0.00907043
    9.45945946    0.00968350
    9.54954955    0.01051311
    9.63963964    0.01160174
    9.72972973    0.01300578
    9.81981982    0.01479617
    9.90990991    0.01705533
   10.00000000    0.01986424
   10.09009009    0.02326918
   10.18018018    0.02721417
   10.27027027    0.03143726
   10.36036036    0.03538027
   10.45045045    0.03824115
   10.54054054    0.03927104
   10.63063063    0.03816955
   10.72072072    0.03524961
   10.81081081    0.03124319
   10.90090090    0.02693030
   10.99099099    0.02286491
   11.08108108    0.01931651
   11.17117117    0.01634875
   11.26126126    0.01391889
   11.35135135    0.01194585
   11.44144144    0.01034473
   11.53153153    0.00904062
   11.62162162    0.00797208
   11.71171171    0.00709041
   11.80180180    0.00635758
   11.89189189    0.00574407
   11.98198198    0.00522693
   12.07207207    0.00478830
   12.16216216    0.00441416
   12.25225225    0.00409345
   12.34234234    0.00381741
   12.43243243    0.00357904
   12.52252252    0.00337272
   12.61261261    0.00319392
   12.70270270    0.00303898
   12.79279279    0.00290491
   12.88288288    0.00278932
   12.97297297    0.00269023
   13.06306306    0.00260611
   13.15315315    0.00253570
   13.24324324    0.00247806
   13.33333333    0.00243250
   13.42342342    0.00239856
   13.51351351    0.00237601
   13.60360360    0.00236483
   13.69369369    0.00236525
   13.78378378    0.00237775
   13.87387387    0.00240307
   13.96396396    0.00244230
   14.05405405    0.00249691
   14.14414414    0.00256884
   14.23423423    0.00266062
   14.32432432    0.00277556
   14.41441441    0.00291789
   14.50450450    0.00309311
   14.59459459    0.00330835
   14.68468468    0.00357280
   14.77477477    0.00389840
   14.86486486    0.00430045
   14.95495495    0.00479833
   15.04504505    0.00541571
   15.13513514    0.00617944
   15.22522523    0.00711510
   15.31531532    0.00823552
   15.40540541    0.00951727
   15.49549550    0.01086430
   15.58558559    0.01207699
   15.67567568    0.01287825
   15.76576577    0.01304146
   15.85585586    0.01254706
   15.94594595    0.01160057
   16.03603604    0.01049006
   16.12612613    0.00944325
   16.21621622    0.00858444
   16.30630631    0.00795997
   16.39639640    0.00757550
   16.48648649    0.00742018
   16.57657658    0.00747490
   16.66666667    0.00770698
   16.75675676    0.00805449
   16.84684685    0.00840985
   16.93693694    0.00862760
   17.02702703    0.00858096
   17.11711712    0.00824004
   17.20720721    0.00768976
   17.29729730    0.00706528
   17.38738739    0.00647835
   17.47747748    0.00599093
   17.56756757    0.00562552
   17.65765766    0.00538391
   17.74774775    0.00526093
   17.83783784    0.00525187
   17.92792793    0.00535587
   18.01801802    0.00557720
   18.10810811    0.00592510
   18.19819820    0.00641207
   18.28828829    0.00704897
   18.37837838    0.00783393
   18.46846847    0.00873230
   18.55855856    0.00965040
   18.64864865    0.01042461
   18.73873874    0.01086615
   18.82882883    0.01086822
   18.91891892    0.01048699
   19.00900901    0.00990211
   19.09909910    0.00930515
   19.18918919    0.00882768
   19.27927928    0.00853644
   19.36936937    0.00845840
   19.45945946    0.00860516
   19.54954955    0.00898825
   19.63963964    0.00962679
   19.72972973    0.01054992
   19.81981982    0.01179437
   19.90990991    0.01339404
   20.00000000    0.01535464
   20.09009009    0.01760482
   20.18018018    0.01992673
   20.27027027    0.02191119
   20.36036036    0.02304142
   20.45045045    0.02295831
   20.54054054    0.02171685
   20.63063063    0.01974484
   20.72072072    0.01755467
   20.81081081    0.01551462
   20.90090090    0.01380577
   20.99099099    0.01248032
   21.08108108    0.01152841
   21.17117117    0.01092126
   21.26126126    0.01063286
   21.35135135    0.01064909
   21.44144144    0.01097048
   21.53153153    0.01161126
   21.62162162    0.01259412
   21.71171171    0.01393661
   21.80180180    0.01562207
   21.89189189    0.01754884
   21.98198198    0.01946860
   22.07207207    0.02097257
   22.16216216    0.02162065
   22.25225225    0.02120331
   22.34234234    0.01990141
   22.43243243    0.01815321
   22.52252252    0.01638688
   22.61261261    0.01486713
   22.70270270    0.01368764
   22.79279279    0.01281646
   22.88288288    0.01213967
   22.97297297    0.01150986
   23.06306306    0.01081547
   23.15315315    0.01003783
   23.24324324    0.00924206
   23.33333333    0.00851638
   23.42342342    0.00792472
   23.51351351    0.00749712
   23.60360360    0.00724020
   23.69369369    0.00714800
   23.78378378    0.00720677
   23.87387387    0.00739617
   23.96396396    0.00769396
   24.05405405    0.00808905
   24.14414414    0.00859361
   24.23423423    0.00923381
   24.32432432    0.01001386
   24.41441441    0.01086954
   24.50450450    0.01163639
   24.59459459    0.01207325
   24.68468468    0.01197522
   24.77477477    0.01131319
   24.86486486    0.01025430
   24.95495495    0.00904019
   25.04504505    0.00786119
   25.13513514    0.00681671
   25.22522523    0.00593632
   25.31531532    0.00521259
   25.40540541    0.00462390
   25.49549550    0.00414622
   25.58558559    0.00375792
   25.67567568    0.00344109
   25.76576577    0.00318147
   25.85585586    0.00296795
   25.94594595    0.00279191
   26.03603604    0.00264669
   26.12612613    0.00252713
   26.21621622    0.00242923
   26.30630631    0.00234989
   26.39639640    0.00228672
   26.48648649    0.00223788
   26.57657658    0.00220196
   26.66666667    0.00217794
